gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
637449682	301	1	260	3.5e-53	166.7	TIGR01098	phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
637449684	167	1	164	1.2e-50	157.7	TIGR00758	uracil-DNA glycosylase, family 4
637449685	405	22	397	0.0e+00	496.3	TIGR00612	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
637449686	429	53	386	4.5e-120	386.7	TIGR00225	C-terminal peptidase (prc)
637449687	304	1	303	3.8e-120	386.7	TIGR00550	quinolinate synthetase complex, A subunit
637449688	289	31	284	3.2e-103	330.8	TIGR04168	TIGR04168 family protein
637449691	363	15	363	2.2e-118	381.3	TIGR01357	3-dehydroquinate synthase
637449692	396	15	376	1.1e-101	326.7	TIGR01161	phosphoribosylaminoimidazole carboxylase, PurK protein
637449700	68	5	63	1.1e-14	40.9	TIGR02450	tryptophan-rich conserved hypothetical protein
637449719	323	28	322	1.0e-70	224.3	TIGR00975	phosphate ABC transporter, phosphate-binding protein
637449720	408	13	401	5.7e-63	199.7	TIGR00937	chromate transporter, chromate ion transporter (CHR) family
637449722	340	2	330	4.0e-120	386.9	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
637449725	321	1	312	2.2e-90	289.2	TIGR00832	arsenical-resistance protein
637449732	315	21	312	3.9e-93	297.7	TIGR02138	phosphate ABC transporter, permease protein PstC
637449733	297	16	293	4.3e-98	313.7	TIGR00974	phosphate ABC transporter, permease protein PstA
637449734	269	13	269	7.0e-117	375.1	TIGR00972	phosphate ABC transporter, ATP-binding protein
637449736	214	16	212	3.2e-26	79.4	TIGR00024	putative phosphoesterase, SbcD/Mre11-related
637449736	214	8	213	1.5e-53	168.3	TIGR04123	metallophosphoesterase, DNA ligase-associated
637449737	825	11	825	0.0e+00	1023.9	TIGR04121	DEXH box helicase, DNA ligase-associated
637449738	545	4	542	0.0e+00	499.9	TIGR04120	DNA ligase, ATP-dependent, PP_1105 family
637449739	330	8	329	2.9e-121	390.2	TIGR04122	putative exonuclease, DNA ligase-associated
637449750	217	16	215	7.8e-76	240.6	TIGR03060	photosystem II biogenesis protein Psp29
637449751	196	1	190	3.2e-100	319.7	TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
637449752	637	126	621	0.0e+00	726.3	TIGR01241	ATP-dependent metalloprotease FtsH
637449757	305	122	303	1.5e-44	138.7	TIGR02971	ABC exporter membrane fusion protein, DevB family
637449758	391	12	391	0.0e+00	450.3	TIGR01185	DevC protein
637449759	240	14	233	1.7e-108	347.3	TIGR02982	ABC exporter ATP-binding subunit, DevA family
637449762	234	3	227	1.0e-101	324.9	TIGR01011	ribosomal protein S2, bacterial type
637449763	218	1	98	3.3e-40	124.1	TIGR00116	translation elongation factor Ts
637449765	818	144	784	0.0e+00	700.4	TIGR00643	ATP-dependent DNA helicase RecG
637449767	596	21	594	0.0e+00	717.2	TIGR02042	ferredoxin-sulfite reductase
637449768	720	1	719	0.0e+00	555.4	TIGR00211	glycyl-tRNA synthetase, tetrameric type, beta subunit
637449769	443	2	404	0.0e+00	519.6	TIGR02023	geranylgeranyl reductase
637449769	443	2	404	0.0e+00	665.5	TIGR02028	geranylgeranyl reductase
637449769	443	3	310	1.2e-60	193.3	TIGR02032	geranylgeranyl reductase family
637449771	600	6	157	2.3e-26	79.6	TIGR00231	small GTP-binding protein domain
637449771	600	8	600	0.0e+00	950	TIGR01394	GTP-binding protein TypA/BipA
637449774	314	49	305	2.3e-100	321.4	TIGR03144	cytochrome c-type biogenesis protein CcsB
637449775	251	17	236	5.9e-72	227.5	TIGR01163	ribulose-phosphate 3-epimerase
637449776	333	1	333	1.1e-105	339.5	TIGR00330	fructose-1,6-bisphosphatase, class II
637449777	433	3	430	3.8e-121	390.8	TIGR01035	glutamyl-tRNA reductase
637449778	431	4	396	0.0e+00	458.5	TIGR02091	glucose-1-phosphate adenylyltransferase
637449779	472	5	472	0.0e+00	609.8	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
637449780	245	16	243	7.0e-54	168.8	TIGR01198	6-phosphogluconolactonase
637449783	559	17	557	0.0e+00	784.3	TIGR00110	dihydroxy-acid dehydratase
637449787	351	2	337	8.8e-91	290.2	TIGR02475	cobalamin biosynthesis protein CobW
637449788	83	4	82	5.5e-29	86.5	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
637449789	221	4	221	3.7e-85	270.9	TIGR01737	phosphoribosylformylglycinamidine synthase I
637449790	357	1	329	2.0e-104	336	TIGR00167	ketose-bisphosphate aldolase
637449790	357	3	349	0.0e+00	637.4	TIGR01521	fructose-bisphosphate aldolase, class II, Calvin cycle subtype
637449793	292	1	288	0.0e+00	437	TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
637449795	357	5	353	0.0e+00	469.1	TIGR00169	3-isopropylmalate dehydrogenase
637449796	344	14	338	1.0e-96	309.6	TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
637449797	360	2	359	4.0e-115	370.8	TIGR01027	glutamate 5-kinase
637449798	164	2	164	4.1e-31	94.9	TIGR01668	HAD superfamily (subfamily IIIA) phosphatase, TIGR01668
637449798	164	29	140	3.1e-15	43.6	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
637449800	151	12	137	4.3e-24	71.2	TIGR00250	RNAse H-fold protein YqgF
637449805	255	3	235	4.8e-85	270.9	TIGR00007	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
637449807	180	13	180	6.3e-41	126.9	TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
637449811	217	4	194	4.2e-72	227.9	TIGR01083	endonuclease III
637449833	114	6	105	2.0e-32	97.6	TIGR00090	ribosome silencing factor RsfS/YbeB/iojap
637449835	1099	2	1081	0.0e+00	1431.3	TIGR01369	carbamoyl-phosphate synthase, large subunit
637449839	230	10	220	2.2e-45	141.3	TIGR00419	triosephosphate isomerase
637449840	280	19	278	8.0e-92	293.5	TIGR01496	dihydropteroate synthase
637449841	1335	180	1329	0.0e+00	637.8	TIGR02257	cobaltochelatase, CobN subunit
637449841	1335	24	1334	0.0e+00	1735.8	TIGR02025	magnesium chelatase, H subunit
637449842	282	8	281	2.0e-78	249.6	TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
637449849	1171	160	1088	0.0e+00	1018.8	TIGR00580	transcription-repair coupling factor (mfd)
637449850	236	25	229	1.4e-51	161.2	TIGR03716	integral membrane protein, YkoY family
637449851	328	1	328	5.7e-82	261.3	TIGR00460	methionyl-tRNA formyltransferase
637449854	390	14	244	3.6e-107	344.3	TIGR02029	magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase
637449861	249	61	196	3.2e-12	34	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
637449863	58	2	34	2.5e-09	23.6	TIGR01031	ribosomal protein L32
637449864	584	83	579	0.0e+00	602.3	TIGR01241	ATP-dependent metalloprotease FtsH
637449874	160	1	160	1.9e-47	147.1	TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase
637449879	511	3	498	0.0e+00	487.5	TIGR00398	methionyl-tRNA synthetase
637449881	73	4	71	1.2e-32	98.2	TIGR00165	ribosomal protein S18
637449882	64	1	64	3.3e-26	77.7	TIGR01023	ribosomal protein L33, bacterial type
637449883	821	1	820	0.0e+00	704.3	TIGR00472	phenylalanyl-tRNA synthetase, beta subunit, non-spirochete bacterial
637449889	1186	11	1186	0.0e+00	1374.3	TIGR02082	5-methyltetrahydrofolate--homocysteine methyltransferase
637449890	304	9	301	2.0e-88	282.4	TIGR01122	branched-chain amino acid aminotransferase, group I
637449891	1245	1	1238	0.0e+00	1931.2	TIGR02257	cobaltochelatase, CobN subunit
637449893	199	16	164	5.4e-50	155.3	TIGR00701	TIGR00701 family protein
637449894	656	32	634	0.0e+00	620.8	TIGR00194	excinuclease ABC, C subunit
637449896	159	2	156	5.3e-64	202	TIGR01510	pantetheine-phosphate adenylyltransferase, bacterial
637449896	159	2	62	1.7e-18	53.8	TIGR00125	cytidyltransferase-like domain
637449897	323	131	301	4.4e-29	87.3	TIGR00666	D-alanyl-D-alanine carboxypeptidase, serine-type, PBP4 family
637449900	286	4	285	3.9e-88	281.4	TIGR00652	diaminopimelate epimerase
637449901	858	15	858	0.0e+00	1114.1	TIGR00396	leucyl-tRNA synthetase, eubacterial and mitochondrial family
637449903	218	23	210	7.1e-69	217.2	TIGR00639	phosphoribosylglycinamide formyltransferase, formyltetrahydrofolate-dependent
637449904	351	1	351	4.5e-109	350.7	TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase, common form
637449905	577	23	222	5.5e-82	261.2	TIGR00506	3,4-dihydroxy-2-butanone 4-phosphate synthase
637449905	577	230	421	1.4e-78	249.8	TIGR00505	GTP cyclohydrolase II
637449909	665	3	603	0.0e+00	804.7	TIGR02350	chaperone protein DnaK
637449911	124	3	100	6.0e-25	73.1	TIGR02008	ferredoxin [2Fe-2S]
637449915	78	1	58	1.8e-26	78.6	TIGR00009	ribosomal protein L28
637449919	87	6	87	7.4e-40	121.5	TIGR03049	photosystem I reaction center subunit PsaK
637449920	637	3	626	0.0e+00	899.8	TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase
637449921	513	3	509	0.0e+00	735.6	TIGR01124	threonine ammonia-lyase, biosynthetic, long form
637449922	160	1	156	1.1e-38	118.7	TIGR00281	segregation and condensation protein B
637449925	596	8	474	0.0e+00	572.9	TIGR01064	pyruvate kinase
637449928	153	1	153	6.6e-35	106.5	TIGR00077	lipoprotein signal peptidase
637449929	500	112	270	1.1e-17	50.4	TIGR00231	small GTP-binding protein domain
637449933	473	6	472	0.0e+00	657.3	TIGR00653	glutamine synthetase, type I
637449938	350	14	328	3.4e-102	328	TIGR03167	tRNA 2-selenouridine synthase
637449939	117	9	115	8.8e-46	140.9	TIGR03047	photosystem II reaction center protein Psb28
637449941	305	42	298	1.2e-63	202.1	TIGR00966	protein-export membrane protein SecF
637449941	305	61	295	2.2e-50	158.4	TIGR00916	protein-export membrane protein, SecD/SecF family
637449942	486	220	457	3.3e-72	229.8	TIGR00916	protein-export membrane protein, SecD/SecF family
637449942	486	29	464	4.2e-117	378.5	TIGR01129	protein-export membrane protein SecD
637449945	312	7	311	1.5e-74	237.2	TIGR00154	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
637449946	277	6	269	3.9e-71	225.3	TIGR00755	ribosomal RNA small subunit methyltransferase A
637449948	137	34	137	1.1e-23	70.1	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
637449952	678	4	427	0.0e+00	448.3	TIGR01391	DNA primase, catalytic core
637449955	219	1	213	2.6e-37	114.2	TIGR00084	Holliday junction DNA helicase, RuvA subunit
637449956	89	4	89	6.0e-37	112.1	TIGR00952	ribosomal protein S15, bacterial/organelle
637449958	1165	3	1036	0.0e+00	1362.3	TIGR00594	DNA-directed DNA polymerase III (polc)
637449959	484	6	475	0.0e+00	608	TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
637449961	428	187	428	3.0e-74	235.5	TIGR00186	rRNA methylase, putative, group 3
637449963	130	18	123	1.5e-23	68.9	TIGR00377	anti-anti-sigma factor
637449964	380	9	378	0.0e+00	484.6	TIGR01368	carbamoyl-phosphate synthase, small subunit
637449965	343	11	340	1.3e-111	359	TIGR01245	anthranilate phosphoribosyltransferase
637449968	242	40	195	8.2e-62	194.2	TIGR00401	methionine-S-sulfoxide reductase
637449970	266	6	259	4.7e-66	209.1	TIGR00753	undecaprenyl-diphosphatase UppP
637449974	267	8	221	9.9e-26	78.7	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
637449974	267	8	222	1.8e-104	335.8	TIGR02463	mannosyl-3-phosphoglycerate phosphatase-related protein
637449974	267	8	259	1.3e-104	336.7	TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
637449977	569	4	569	0.0e+00	974.6	TIGR01792	urease, alpha subunit
637449978	106	4	106	7.3e-49	150.5	TIGR00192	urease, beta subunit
637449979	100	1	100	2.8e-50	155	TIGR00193	urease, gamma subunit
637449983	201	4	200	2.1e-97	310.7	TIGR00101	urease accessory protein UreG
637449984	439	47	415	0.0e+00	551.2	TIGR03407	urea ABC transporter, urea binding protein
637449986	378	28	341	0.0e+00	437.1	TIGR03408	urea ABC transporter, permease protein UrtC
637449987	251	7	248	5.1e-116	372.5	TIGR03411	urea ABC transporter, ATP-binding protein UrtD
637449988	236	5	236	6.4e-103	329.2	TIGR03410	urea ABC transporter, ATP-binding protein UrtE
637450001	58	2	58	5.2e-23	66.9	TIGR00030	ribosomal protein S21
637450016	869	18	868	0.0e+00	938.8	TIGR02414	aminopeptidase N, Escherichia coli type
637450018	390	10	389	0.0e+00	511.1	TIGR01142	phosphoribosylglycinamide formyltransferase 2
637450023	340	18	333	1.0e-104	337.1	TIGR00737	putative TIM-barrel protein, nifR3 family
637450023	340	23	334	9.3e-40	123.9	TIGR00742	tRNA dihydrouridine synthase A
637450026	137	11	124	1.7e-16	46.8	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
637450068	185	6	180	1.2e-35	109.2	TIGR02727	5,10-methenyltetrahydrofolate synthetase
637450069	157	3	154	2.0e-35	108.1	TIGR00228	crossover junction endodeoxyribonuclease RuvC
637450070	362	10	346	0.0e+00	534	TIGR02030	magnesium chelatase ATPase subunit I
637450071	247	5	242	1.1e-58	184.8	TIGR00050	RNA methyltransferase, TrmH family, group 1
637450074	195	1	194	4.3e-40	123.5	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
637450075	205	4	203	5.8e-67	211.4	TIGR01855	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
637450076	107	7	107	8.4e-46	140.6	TIGR01068	thioredoxin
637450077	387	3	366	0.0e+00	504.3	TIGR01304	IMP dehydrogenase family protein
637450078	867	19	852	0.0e+00	1133.6	TIGR01063	DNA gyrase, A subunit
637450079	403	5	399	3.1e-116	374.6	TIGR01790	lycopene cyclase family protein
637450081	546	7	515	0.0e+00	754.7	TIGR00973	2-isopropylmalate synthase, bacterial type
637450083	490	273	374	1.2e-19	56.2	TIGR00277	HDIG domain
637450087	464	2	458	2.7e-92	295.9	TIGR00379	cobyrinic acid a,c-diamide synthase
637450088	433	6	404	3.3e-41	127.4	TIGR00534	glucose-6-phosphate dehydrogenase assembly protein OpcA
637450089	507	20	507	0.0e+00	613.2	TIGR00871	glucose-6-phosphate 1-dehydrogenase
637450096	331	22	331	1.0e-124	401.4	TIGR01251	ribose-phosphate pyrophosphokinase
637450097	506	3	503	8.1e-89	284.9	TIGR00217	4-alpha-glucanotransferase
637450105	144	11	139	1.1e-28	86.2	TIGR01575	ribosomal-protein-alanine acetyltransferase
637450106	457	26	448	0.0e+00	455.4	TIGR01048	diaminopimelate decarboxylase
637450107	296	5	256	1.4e-65	207.2	TIGR00159	TIGR00159 family protein
637450108	272	23	250	2.2e-97	310.9	TIGR00055	undecaprenyl diphosphate synthase
637450109	335	22	320	6.8e-115	369.4	TIGR00433	biotin synthase
637450112	299	1	299	3.1e-105	337.7	TIGR00510	lipoate synthase
637450113	199	2	196	1.7e-79	251.9	TIGR00615	recombination protein RecR
637450119	1209	2	1209	0.0e+00	469	TIGR00609	exodeoxyribonuclease V, beta subunit
637450123	238	3	237	9.0e-97	309.3	TIGR00559	pyridoxine 5'-phosphate synthase
637450127	107	5	103	4.1e-46	141.4	TIGR00365	monothiol glutaredoxin, Grx4 family
637450131	533	27	525	0.0e+00	860.9	TIGR02730	carotene isomerase
637450132	470	4	456	0.0e+00	631.6	TIGR00137	tRNA:m(5)U-54 methyltransferase
637450139	171	4	170	4.8e-46	143	TIGR01090	adenine phosphoribosyltransferase
637450156	363	1	363	0.0e+00	498.3	TIGR00092	GTP-binding protein YchF
637450157	353	42	344	5.4e-56	175.8	TIGR01730	RND family efflux transporter, MFP subunit
637450158	976	13	976	0.0e+00	914.1	TIGR00593	DNA polymerase I
637450159	492	2	492	0.0e+00	521.3	TIGR00435	cysteinyl-tRNA synthetase
637450160	404	1	397	0.0e+00	514.9	TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
637450165	376	3	373	1.6e-106	342.8	TIGR00561	NAD(P) transhydrogenase, alpha subunit
637450168	458	11	315	3.9e-114	366.4	TIGR01292	thioredoxin-disulfide reductase
637450169	88	1	68	5.8e-22	63.8	TIGR00008	translation initiation factor IF-1
637450173	174	1	158	5.9e-65	204.1	TIGR00119	acetolactate synthase, small subunit
637450176	358	1	358	0.0e+00	705	TIGR01152	Photosystem II, DII subunit (also called Q(A))
637450177	460	21	451	0.0e+00	870.3	TIGR01153	photosystem II 44 kDa subunit reaction center protein (also called P6 protein, CP43), bacterial and chloroplast
637450178	208	1	202	1.9e-47	147.2	TIGR00172	MAF protein
637450179	509	14	507	0.0e+00	514.7	TIGR00313	cobyric acid synthase CobQ
637450185	289	1	289	0.0e+00	490	TIGR00388	glycyl-tRNA synthetase, tetrameric type, alpha subunit
637450191	174	2	171	3.2e-50	156.1	TIGR01752	flavodoxin, long chain
637450200	269	12	219	3.6e-77	244.7	TIGR00706	signal peptide peptidase SppA, 36K type
637450201	127	11	126	4.9e-37	113.1	TIGR01796	monofunctional chorismate mutase, gram positive type, clade 1
637450203	45	2	45	1.6e-18	52.9	TIGR01030	ribosomal protein L34, bacterial type
637450204	129	2	127	3.7e-12	32.7	TIGR00188	ribonuclease P protein component, eubacterial
637450206	379	23	338	3.8e-62	195.8	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
637450208	424	1	416	0.0e+00	511.6	TIGR00414	seryl-tRNA synthetase
637450209	359	1	132	9.4e-40	122.6	TIGR00054	RIP metalloprotease RseP
637450211	721	9	701	0.0e+00	933.6	TIGR03591	polyribonucleotide nucleotidyltransferase
637450213	287	18	287	1.4e-83	266.5	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
637450216	485	11	481	0.0e+00	621.8	TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
637450224	360	10	358	0.0e+00	530.6	TIGR02622	CDP-glucose 4,6-dehydratase
637450225	255	1	255	0.0e+00	445.4	TIGR02623	glucose-1-phosphate cytidylyltransferase
637450229	357	5	354	0.0e+00	549.7	TIGR01472	GDP-mannose 4,6-dehydratase
637450230	363	3	348	9.2e-114	365.6	TIGR01179	UDP-glucose-4-epimerase GalE
637450235	216	26	171	6.0e-30	91.2	TIGR01656	histidinol-phosphate phosphatase family domain
637450235	216	26	171	2.3e-23	70	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
637450239	500	176	495	4.2e-64	203.6	TIGR02198	rfaE bifunctional protein, domain I
637450239	500	20	77	4.6e-12	33.2	TIGR00125	cytidyltransferase-like domain
637450252	302	19	149	1.7e-24	72.3	TIGR04366	cupin fold metalloprotein, WbuC family
637450283	474	7	444	2.0e-113	365.2	TIGR03026	nucleotide sugar dehydrogenase
637450284	207	6	206	2.8e-59	186.2	TIGR00498	SOS regulatory protein LexA
637450285	308	10	308	1.5e-118	381.4	TIGR00658	ornithine carbamoyltransferase
637450286	620	114	614	0.0e+00	722	TIGR01241	ATP-dependent metalloprotease FtsH
637450287	362	12	359	5.4e-107	344.9	TIGR00326	riboflavin biosynthesis protein RibD
637450287	362	151	362	6.3e-50	156.7	TIGR00227	riboflavin-specific deaminase C-terminal domain
637450290	426	246	374	2.0e-41	128.3	TIGR02469	precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
637450290	426	40	215	2.4e-36	112.2	TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
637450292	335	47	335	2.6e-112	361.2	TIGR00468	phenylalanyl-tRNA synthetase, alpha subunit
637450293	269	4	250	4.8e-77	244.7	TIGR00087	5'/3'-nucleotidase SurE
637450295	307	15	303	7.7e-75	238	TIGR00083	riboflavin kinase/FMN adenylyltransferase
637450296	351	153	342	3.6e-65	205	TIGR00693	thiamine-phosphate diphosphorylase
637450297	69	3	69	7.1e-26	76.6	TIGR01683	thiamine biosynthesis protein ThiS
637450301	148	46	140	3.9e-31	93.1	TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family
637450302	407	249	405	1.1e-64	204.3	TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
637450302	407	4	237	4.9e-82	261.7	TIGR00088	tRNA (guanine-N1)-methyltransferase
637450303	303	4	169	3.1e-27	82.4	TIGR00231	small GTP-binding protein domain
637450303	303	7	282	2.3e-87	279.8	TIGR00436	GTP-binding protein Era
637450307	114	2	77	6.5e-31	92.5	TIGR00002	ribosomal protein S16
637450308	498	2	429	0.0e+00	578.8	TIGR00959	signal recognition particle protein
637450310	345	21	343	0.0e+00	466.9	TIGR03182	pyruvate dehydrogenase E1 component, alpha subunit
637450311	313	18	303	2.6e-126	407.9	TIGR02997	RNA polymerase sigma factor, cyanobacterial RpoD-like family
637450311	313	77	306	5.9e-41	126.9	TIGR02937	RNA polymerase sigma factor, sigma-70 family
637450312	521	13	218	2.2e-33	102.6	TIGR00197	yjeF N-terminal region
637450312	521	231	516	3.5e-48	151.3	TIGR00196	yjeF C-terminal region, hydroxyethylthiazole kinase-related
637450313	390	24	384	4.8e-110	353.7	TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
637450314	496	55	444	1.2e-37	116	TIGR00546	apolipoprotein N-acyltransferase
637450316	156	1	149	1.7e-79	251.2	TIGR02753	superoxide dismutase, Ni
637450317	88	1	82	3.7e-25	75.5	TIGR02754	nickel-type superoxide dismutase maturation protease
637450320	479	7	479	3.3e-130	420.8	TIGR01350	dihydrolipoamide dehydrogenase
637450322	457	13	429	0.0e+00	529.2	TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
637450324	417	25	415	0.0e+00	467.7	TIGR00707	transaminase, acetylornithine/succinylornithine family
637450325	410	25	405	2.4e-84	269.9	TIGR01499	folylpolyglutamate synthase/dihydrofolate synthase
637450329	464	20	460	0.0e+00	476.6	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
637450329	464	20	463	0.0e+00	432.7	TIGR01574	tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB
637450330	355	8	353	4.8e-100	320.6	TIGR01205	D-alanine--D-alanine ligase
637450333	371	5	354	0.0e+00	450.1	TIGR00065	cell division protein FtsZ
637450334	257	1	255	4.3e-84	268.1	TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase
637450335	408	7	373	2.3e-71	226.7	TIGR00539	putative oxygen-independent coproporphyrinogen III oxidase
637450337	220	3	212	1.6e-57	180.4	TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
637450338	201	7	196	2.9e-91	290.5	TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
637450339	329	15	329	0.0e+00	471.4	TIGR00465	ketol-acid reductoisomerase
637450340	337	4	335	2.7e-61	193.4	TIGR00380	cobalamin biosynthesis protein CobD
637450346	677	6	666	0.0e+00	593.5	TIGR02100	glycogen debranching enzyme GlgX
637450349	251	2	251	2.9e-66	209.7	TIGR00056	ABC transport permease subunit
637450352	198	1	196	8.2e-55	171.7	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
637450353	239	10	234	1.4e-54	171	TIGR01740	orotidine 5'-phosphate decarboxylase, subfamily 1
637450354	412	14	411	3.1e-116	374.7	TIGR00234	tyrosyl-tRNA synthetase
637450358	200	23	172	2.5e-39	121.2	TIGR00401	methionine-S-sulfoxide reductase
637450359	392	1	390	1.2e-90	290.1	TIGR00215	lipid-A-disaccharide synthase
637450360	280	17	273	2.3e-92	294.8	TIGR01852	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
637450361	152	12	150	5.7e-59	184.1	TIGR01750	beta-hydroxyacyl-[acyl carrier protein] dehydratase FabZ
637450362	278	10	278	4.8e-76	241.9	TIGR00325	UDP-3-0-acyl N-acetylglucosamine deacetylase
637450364	242	1	242	5.5e-72	228.5	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
637450365	445	15	437	0.0e+00	479.1	TIGR00877	phosphoribosylamine--glycine ligase
637450366	689	298	417	5.5e-10	25.6	TIGR00229	PAS domain S-box
637450367	509	15	498	0.0e+00	982.6	TIGR02655	circadian clock protein KaiC
637450368	107	4	90	1.0e-59	184.8	TIGR02654	circadian clock protein KaiB
637450369	146	18	118	4.9e-36	109.5	TIGR00061	ribosomal protein L21
637450370	86	1	85	2.6e-39	119.4	TIGR00062	ribosomal protein L27
637450372	305	4	214	4.6e-65	205.3	TIGR00431	tRNA pseudouridine(55) synthase
637450373	397	131	391	8.2e-95	303.8	TIGR02669	SpoIID/LytB domain
637450374	312	2	311	2.3e-120	387.2	TIGR02651	ribonuclease Z
637450377	99	2	99	3.1e-56	173.5	TIGR02008	ferredoxin [2Fe-2S]
637450378	300	6	292	1.2e-66	211.1	TIGR00406	ribosomal protein L11 methyltransferase
637450379	528	3	528	0.0e+00	669.6	TIGR01327	D-3-phosphoglycerate dehydrogenase
637450381	263	2	262	1.2e-114	367.7	TIGR03069	photosystem II S4 domain protein
637450384	183	6	183	2.5e-68	215.8	TIGR04026	PPOX class probable FMN-dependent enzyme, alr4036 family
637450390	473	14	464	2.3e-111	358.9	TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
637450396	414	6	403	1.0e-127	412.2	TIGR00275	flavoprotein, HI0933 family
637450405	294	113	287	1.0e-29	89.6	TIGR00730	TIGR00730 family protein
637450460	540	17	525	0.0e+00	684.3	TIGR01307	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)
637450461	74	2	73	4.2e-22	64.3	TIGR00810	protein translocase, SecG subunit
637450462	544	2	527	0.0e+00	814.8	TIGR02348	chaperonin GroL
637450464	486	11	482	0.0e+00	822	TIGR01039	ATP synthase, F1 beta subunit
637450465	134	2	133	5.1e-40	122.7	TIGR01216	ATP synthase, F1 epsilon subunit (delta in mitochondria)
637450470	413	46	207	7.2e-17	47.7	TIGR00231	small GTP-binding protein domain
637450471	193	11	189	3.9e-28	84.8	TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase
637450472	565	270	552	1.5e-64	203.6	TIGR00552	NAD+ synthetase
637450475	108	2	99	5.4e-28	82.9	TIGR02008	ferredoxin [2Fe-2S]
637450476	316	1	316	2.0e-107	345.2	TIGR01146	ATP synthase, F1 gamma subunit
637450477	505	3	503	0.0e+00	838.7	TIGR00962	proton translocating ATP synthase, F1 alpha subunit
637450478	180	7	178	9.4e-48	148.8	TIGR01145	ATP synthase, F1 delta subunit
637450479	170	21	167	2.9e-20	58.8	TIGR01144	ATP synthase, F0 subunit b
637450480	153	24	153	2.5e-20	59	TIGR01144	ATP synthase, F0 subunit b
637450481	81	11	77	7.5e-21	60.2	TIGR01260	ATP synthase, F0 subunit c
637450482	241	14	237	8.8e-41	126.3	TIGR01131	ATP synthase subunit 6 (eukaryotes),also subunit A (prokaryotes)
637450487	136	20	134	6.3e-41	125.1	TIGR03139	7-cyano-7-deazaguanine reductase
637450490	270	6	242	1.6e-77	245.9	TIGR00478	TlyA family rRNA methyltransferase/putative hemolysin
637450491	431	1	430	0.0e+00	553.2	TIGR00928	adenylosuccinate lyase
637450492	461	5	461	0.0e+00	622.3	TIGR00979	fumarate hydratase, class II
637450494	381	13	378	6.6e-103	330.2	TIGR00858	8-amino-7-oxononanoate synthase
637450497	220	11	165	1.2e-41	128.6	TIGR00347	dethiobiotin synthase
